"Owner","Certificate Issuer Organization","Certificate Issuer Organizational Unit","Common Name or Certificate Name","Certificate Serial Number","SHA-256 Fingerprint","Certificate ID","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Trust Bits","EV Policy OID(s)","Approval Bug","NSS Release When First Included","Firefox Release When First Included","URL to Test Website or Example Cert","Mozilla Applied Constraints","Company Website","Geographic Focus","Certificate Policy (CP)","Certification Practice Statement (CPS)","Standard Audit","BR Audit","EV Audit","Auditor","Standard Audit Type","Standard Audit Statement Dt"
"QuoVadis","QuoVadis Limited","","QuoVadis Root CA 3","05c6","18:F1:FC:7F:20:5D:F8:AD:DD:EB:7F:E0:07:DD:57:E3:AF:37:5A:9C:4D:8D:73:54:6B:F4:F1:FE:D1:E1:8D:35","E5:5B:35:9C:C1:37:0D:BB:FE:E0:01:75:90:B6:E4:CB:CC:41:E9:C3:13:D0:DA:7E:F2:9C:C0:C5:CB:BC:C9:F3","2006 Nov 24","2031 Nov 24","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=365281","NSS 3.11.8","Firefox 2","https://qvsslrca3-v.quovadisglobal.com","","http://www.quovadisglobal.com","Bermuda, Global","https://www.quovadisglobal.com/QVRepository.aspx","https://www.quovadisglobal.com/QVRepository.aspx","https://cert.webtrust.org/SealFile?seal=2013&file=pdf","https://cert.webtrust.org/SealFile?seal=2011&file=pdf","","Ernst & Young","WebTrust","2016.03.28"
"QuoVadis","QuoVadis Limited","","QuoVadis Root CA 3 G3","2ef59b0228a7db7affd5a3a9eebd03a0cf126a1d","88:EF:81:DE:20:2E:B0:18:45:2E:43:F8:64:72:5C:EA:5F:BD:1F:C2:D9:D2:05:73:07:09:C5:D8:B8:69:0F:46","05:32:74:EB:4F:E1:3F:80:93:74:AF:78:79:28:4A:03:67:8F:40:42:E6:E9:4D:25:4E:2F:6D:4A:74:8E:1B:04","2012 Jan 12","2042 Jan 12","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=926541","NSS 3.16.3","Firefox 32","http://trust.quovadisglobal.com/qvrca3g3.crt","","http://www.quovadisglobal.com","Bermuda, Global","https://www.quovadisglobal.com/QVRepository.aspx","https://www.quovadisglobal.com/QVRepository.aspx","https://cert.webtrust.org/SealFile?seal=2013&file=pdf","https://cert.webtrust.org/SealFile?seal=2011&file=pdf","","Ernst & Young","WebTrust","2016.03.28"
"QuoVadis","QuoVadis Limited","Root Certification Authority","QuoVadis Root Certification Authority","3ab6508b","A4:5E:DE:3B:BB:F0:9C:8A:E1:5C:72:EF:C0:72:68:D6:93:A2:1C:99:6F:D5:1E:67:CA:07:94:60:FD:6D:88:73","0B:F1:DA:DC:21:86:72:7D:78:2B:63:0C:E0:AA:EE:79:A7:16:F5:4E:C1:26:15:24:A4:4E:27:EE:2B:E8:DC:14","2001 Mar 19","2021 Mar 17","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=238381","NSS 3.9.6","Firefox 1","https://qvsslrca-v.quovadisglobal.com","","http://www.quovadisglobal.com","Bermuda, Global","https://www.quovadisglobal.com/QVRepository.aspx","https://www.quovadisglobal.com/QVRepository.aspx","https://cert.webtrust.org/SealFile?seal=2013&file=pdf","https://cert.webtrust.org/SealFile?seal=2011&file=pdf","","Ernst & Young","WebTrust","2016.03.28"
"SECOM Trust Systems Co. Ltd.","SECOM Trust.net","Security Communication RootCA1","SECOM Trust.net - Security Communication RootCA1","00","E7:5E:72:ED:9F:56:0E:EC:6E:B4:80:00:73:A4:3F:C3:AD:19:19:5A:39:22:82:01:78:95:97:4A:99:02:6B:6C","8E:27:07:51:0E:F1:95:7F:0E:67:83:8A:C4:EC:0B:D2:0D:1D:83:20:16:4B:FF:44:F1:6D:60:DC:AA:78:9B:00","2003 Sep 30","2023 Sep 30","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=260259","NSS 3.9.5","Firefox 1","https://testrepository.secomtrust.net/secom/ssl.html","","http://www.secomtrust.net/","Japan","https://repository.secomtrust.net/SC-Root1/index.html","https://repository.secomtrust.net/SC-Root1/index.html","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","PwC","WebTrust","2016.08.22"
"SECOM Trust Systems Co. Ltd.","SECOM Trust Systems CO.,LTD.","Security Communication EV RootCA1","Security Communication EV RootCA1","00","A2:2D:BA:68:1E:97:37:6E:2D:39:7D:72:8A:AE:3A:9B:62:96:B9:FD:BA:60:BC:2E:11:F6:47:F2:C6:75:FB:37","36:9A:A5:21:C1:E4:48:B7:CC:63:72:D3:D6:9B:41:F1:AE:AE:60:30:97:D6:70:06:DB:A7:0C:C0:6A:8E:14:30","2007 Jun 06","2037 Jun 06","RSA 2048 bits","sha1WithRSAEncryption","Websites","1.2.392.200091.100.721.1","https://bugzilla.mozilla.org/show_bug.cgi?id=394419","NSS 3.12.4","Firefox 3.5","https://repo2.secomtrust.net/ev.gif","","http://www.secomtrust.net/","Japan","https://repository.secomtrust.net/EV-Root1/index.html","https://repository.secomtrust.net/EV-Root1/index.html","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","PwC","WebTrust","2016.08.22"
"SECOM Trust Systems Co. Ltd.","SECOM Trust Systems CO.,LTD.","Security Communication RootCA2","Security Communication RootCA2","00","51:3B:2C:EC:B8:10:D4:CD:E5:DD:85:39:1A:DF:C6:C2:DD:60:D8:7B:B7:36:D2:B5:21:48:4A:A4:7A:0E:BE:F6","DC:31:55:F3:F2:5C:C4:EA:F8:D8:E8:DA:CB:D3:E1:CC:22:4E:00:D4:CC:B3:04:DE:9E:F8:BA:35:95:AE:71:83","2009 May 29","2029 May 29","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email;Code","1.2.392.200091.100.721.1","https://bugzilla.mozilla.org/show_bug.cgi?id=1096205","NSS 3.13.2","Firefox 11","https://ev2v.secomtrust.net/","None","http://www.secomtrust.net/","Japan","https://repo1.secomtrust.net/spcpp/pfw/pfwevca/PfWEVCA-CP.pdf","https://repository.secomtrust.net/SC-Root/SCRootCPS.pdf","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","https://bugzilla.mozilla.org/attachment.cgi?id=8805235","PwC","WebTrust","2016.08.22"
"Start Commercial (StartCom) Ltd.","StartCom Ltd.","Secure Digital Certificate Signing","StartCom Certification Authority","01","C7:66:A9:BE:F2:D4:07:1C:86:3A:31:AA:49:20:E8:13:B2:D1:98:60:8C:B7:B7:CF:E2:11:43:B8:36:DF:09:EA","1C:FA:10:A3:6B:D0:00:D2:55:F3:22:A1:D2:81:DF:FF:91:BF:0C:B5:C9:B4:34:C2:13:0D:C0:0A:58:BE:A7:87","2006 Sep 17","2036 Sep 17","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email;Code","1.3.6.1.4.1.23223.1.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=362304","NSS 3.11.8","Firefox 2","","","http://www.startssl.com/","Israel, Global","https://www.startssl.com/?app=26","https://www.startssl.com/?app=26","https://www.startssl.com/ey-webtrust.pdf","https://www.startssl.com/ey-webtrust-br.pdf","https://www.startssl.com/ey-webtrust-ev.pdf","Ernst & Young","WebTrust","2016.03.18"
"Start Commercial (StartCom) Ltd.","StartCom Ltd.","Secure Digital Certificate Signing","StartCom Certification Authority","2d","E1:78:90:EE:09:A3:FB:F4:F4:8B:9C:41:4A:17:D6:37:B7:A5:06:47:E9:BC:75:23:22:72:7F:CC:17:42:A9:11","1C:FA:10:A3:6B:D0:00:D2:55:F3:22:A1:D2:81:DF:FF:91:BF:0C:B5:C9:B4:34:C2:13:0D:C0:0A:58:BE:A7:87","2006 Sep 17","2036 Sep 17","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email;Code","1.3.6.1.4.1.23223.1.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=602750","NSS 3.13.6","Firefox 16","https://www.startcom.org/","","http://www.startssl.com/","Israel, Global","https://www.startssl.com/?app=26","https://www.startssl.com/?app=26","https://www.startssl.com/ey-webtrust.pdf","https://www.startssl.com/ey-webtrust-br.pdf","https://www.startssl.com/ey-webtrust-ev.pdf","Ernst & Young","WebTrust","2016.03.18"
"Start Commercial (StartCom) Ltd.","StartCom Ltd.","","StartCom Certification Authority G2","3b","C7:BA:65:67:DE:93:A7:98:AE:1F:AA:79:1E:71:2D:37:8F:AE:1F:93:C4:39:7F:EA:44:1B:B7:CB:E6:FD:59:95","87:01:F1:0D:8E:37:53:FA:F8:F7:A6:C9:7E:F0:60:26:78:71:16:D1:5E:97:BA:8F:83:C9:7C:97:EC:43:1E:80","2010 Jan 01","2039 Dec 31","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email;Code","1.3.6.1.4.1.23223.1.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=640368","NSS 3.13.6","Firefox 16","https://g2.startcom.org/","","http://www.startssl.com/","Israel, Global","https://www.startssl.com/?app=26","https://www.startssl.com/?app=26","https://www.startssl.com/ey-webtrust.pdf","https://www.startssl.com/ey-webtrust-br.pdf","https://www.startssl.com/ey-webtrust-ev.pdf","Ernst & Young","WebTrust","2016.03.18"
"Swisscom (Switzerland) Ltd","Swisscom","Digital Certificate Services","Swisscom Root CA 1","5c0b855c0be75941df57cc3f7f9da836","21:DB:20:12:36:60:BB:2E:D4:18:20:5D:A1:1E:E7:A8:5A:65:E2:BC:6E:55:B5:AF:7E:78:99:C8:A2:66:D9:2E","9F:AC:00:BB:53:6C:59:BC:A0:2F:F9:F8:95:5F:76:97:7B:53:EF:95:BD:05:71:82:FA:17:1B:ED:64:49:66:1B","2005 Aug 18","2025 Aug 18","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=342470","NSS 3.11.4","Firefox 2","https://test-emerald-ca-1.pre.swissdigicert.ch/","","http://www.swissdigicert.ch/sdcs/portal/page?lang=en","Switzerland","http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en","http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en","https://bug1015839.bmoattachments.org/attachment.cgi?id=8781165","https://bug1015839.bmoattachments.org/attachment.cgi?id=8781165","","KPMG","ETSI TS 102 042","2016.08.15"
"Swisscom (Switzerland) Ltd","Swisscom","Digital Certificate Services","Swisscom Root CA 2","1e9e28e848f2e5efc37c4a1e5a1867b6","F0:9B:12:2C:71:14:F4:A0:9B:D4:EA:4F:4A:99:D5:58:B4:6E:4C:25:CD:81:14:0D:29:C0:56:13:91:4C:38:41","90:C0:A9:B0:34:A1:2A:48:9B:95:40:B6:43:6D:CA:E3:73:33:D0:83:8A:BD:82:CC:B4:C8:C5:9B:FA:8D:C7:D0","2011 Jun 24","2031 Jun 25","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=759732","NSS 3.15","Firefox 23","https://test-emerald-ca-2.pre.swissdigicert.ch/","","http://www.swissdigicert.ch/sdcs/portal/page?lang=en","Switzerland","http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en","http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en","https://bug1015839.bmoattachments.org/attachment.cgi?id=8781165","https://bug1015839.bmoattachments.org/attachment.cgi?id=8781165","","KPMG","ETSI TS 102 042","2016.08.15"
"Swisscom (Switzerland) Ltd","Swisscom","Digital Certificate Services","Swisscom Root EV CA 2","00f2fa64e27463d38dfd101d041f76ca58","D9:5F:EA:3C:A4:EE:DC:E7:4C:D7:6E:75:FC:6D:1F:F6:2C:44:1F:0F:A8:BC:77:F0:34:B1:9E:5D:B2:58:01:5D","09:BB:8F:71:2C:60:EF:E1:EF:6C:5F:AC:80:CA:98:A6:80:E5:8A:E1:C3:84:F6:B2:C6:FE:23:F6:97:22:72:4F","2011 Jun 24","2031 Jun 25","RSA 4096 bits","sha256WithRSAEncryption","Websites;Code","2.16.756.1.83.21.0","https://bugzilla.mozilla.org/show_bug.cgi?id=759732","NSS 3.15","Firefox 23","https://test-quarz-ev-ca-2.pre.swissdigicert.ch/","","http://www.swissdigicert.ch/sdcs/portal/page?lang=en","Switzerland","http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en","http://www.swissdigicert.ch/sdcs/portal/page?node=download_docs&lang=en","https://bug1015839.bmoattachments.org/attachment.cgi?id=8781165","https://bug1015839.bmoattachments.org/attachment.cgi?id=8781165","https://bug1015839.bmoattachments.org/attachment.cgi?id=8781165","KPMG","ETSI TS 102 042","2016.08.15"
"SwissSign AG","SwissSign AG","","SwissSign Gold CA - G2","00bb401c43f55e4fb0","62:DD:0B:E9:B9:F5:0A:16:3E:A0:F8:E7:5C:05:3B:1E:CA:57:EA:55:C8:68:8F:64:7C:68:81:F2:C8:35:7B:95","5E:FB:7F:BB:95:DA:42:E3:C2:44:58:E0:A6:70:A0:5D:99:BE:F6:B0:5F:66:74:F3:49:83:F5:BD:70:C6:49:88","2006 Oct 25","2036 Oct 25","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email;Code","2.16.756.1.89.1.2.1.1","https://bugzilla.mozilla.org/show_bug.cgi?id=343756","NSS 3.11.9","Firefox 2","https://ev-g2-valid-cert-demo.swisssign.net/","","http://www.swisssign.com/","Switzerland","http://swisssign.com/repository","http://swisssign.com/repository","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","KPMG","ETSI TS 102 042","2016.03.18"
"SwissSign AG","SwissSign AG","","SwissSign Platinum CA - G2","4eb200670c035d4f","3B:22:2E:56:67:11:E9:92:30:0D:C0:B1:5A:B9:47:3D:AF:DE:F8:C8:4D:0C:EF:7D:33:17:B4:C1:82:1D:14:36","E1:1C:7F:6B:3B:39:62:61:B3:47:D5:BD:64:B8:23:BD:03:63:D1:A4:0C:3F:0D:47:1A:98:81:43:AC:FC:1C:F3","2006 Oct 25","2036 Oct 25","RSA 4096 bits","sha1WithRSAEncryption","Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=343756","NSS 3.11.9","Firefox 2","Websites trust bit not set.","","http://www.swisssign.com/","Switzerland","http://swisssign.com/repository","http://swisssign.com/repository","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","KPMG","ETSI TS 102 042","2016.03.18"
"SwissSign AG","SwissSign AG","","SwissSign Silver CA - G2","4f1bd42f54bb2f4b","BE:6C:4D:A2:BB:B9:BA:59:B6:F3:93:97:68:37:42:46:C3:C0:05:99:3F:A9:8F:02:0D:1D:ED:BE:D4:8A:81:D5","0E:9E:F0:7B:09:6E:0E:47:4D:06:33:91:30:CC:51:C5:13:56:BF:BF:88:2A:E6:84:C4:3A:B5:CA:AE:93:71:B1","2006 Oct 25","2036 Oct 25","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=343756","NSS 3.11.9","Firefox 2","https://testsilverg2.swisssign.net","","http://www.swisssign.com/","Switzerland","http://swisssign.com/repository","http://swisssign.com/repository","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","https://bug343756.bmoattachments.org/attachment.cgi?id=8781268","KPMG","ETSI TS 102 042","2016.03.18"
"Symantec","Symantec Corporation","Symantec Trust Network","Symantec Class 1 Public Primary Certification Authority - G4","216e33a5cbd388a46f2907b4273cc4d8","36:3F:3C:84:9E:AB:03:B0:A2:A0:F6:36:D7:B8:6D:04:D3:AC:7F:CF:E2:6A:0A:91:21:AB:97:95:F6:E1:76:DF","38:BD:7D:78:D1:68:2A:F2:A0:71:51:1C:C3:36:07:D7:2A:FC:8D:FE:39:06:0D:97:E9:60:89:BF:DF:F1:20:2A","2011 Oct 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384","Email","","https://bugzilla.mozilla.org/show_bug.cgi?id=833986","NSS 3.28.1","Firefox 51","","None","http://www.symantec.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/1_symantec_stn_wtca_6-15-2016.pdf","","","KPMG","WebTrust","2016.05.13"
"Symantec","Symantec Corporation","Symantec Trust Network","Symantec Class 1 Public Primary Certification Authority - G6","243275f21d2fd20933f7b46acad0f398","9D:19:0B:2E:31:45:66:68:5B:E8:A8:89:E2:7A:A8:C7:D7:AE:1D:8A:AD:DB:A3:C1:EC:F9:D2:48:63:CD:34:B9","D4:AC:68:0A:23:1D:DF:0E:D1:54:16:C3:CC:A3:2E:02:8C:0C:BD:02:51:2B:12:D9:F6:E4:DE:58:39:39:BC:56","2011 Oct 18","2037 Dec 01","RSA 2048 bits","sha256WithRSAEncryption","Email","","https://bugzilla.mozilla.org/show_bug.cgi?id=833986","NSS 3.28.1","Firefox 51","","None","http://www.symantec.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/1_symantec_stn_wtca_6-15-2016.pdf","","","KPMG","WebTrust","2016.05.13"
"Symantec","Symantec Corporation","Symantec Trust Network","Symantec Class 2 Public Primary Certification Authority - G4","34176512403bb756802d80cb7955a61e","FE:86:3D:08:22:FE:7A:23:53:FA:48:4D:59:24:E8:75:65:6D:3D:C9:FB:58:77:1F:6F:61:6F:9D:57:1B:C5:92","1D:3B:97:9C:CD:46:3D:FA:85:86:72:C7:AF:6B:8E:A4:7E:87:D7:3D:6F:62:0F:5B:6E:F8:0E:7D:3D:6F:52:C6","2011 Oct 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384","Email","","https://bugzilla.mozilla.org/show_bug.cgi?id=833986","NSS 3.28.1","Firefox 51","","None","http://www.symantec.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/1_symantec_stn_wtca_6-15-2016.pdf","","","KPMG","WebTrust","2016.05.13"
"Symantec","Symantec Corporation","Symantec Trust Network","Symantec Class 2 Public Primary Certification Authority - G6","64829efc371e745dfc97ff97c8b1ff41","CB:62:7D:18:B5:8A:D5:6D:DE:33:1A:30:45:6B:C6:5C:60:1A:4E:9B:18:DE:DC:EA:08:E7:DA:AA:07:81:5F:F0","F9:3F:F9:9D:3D:2D:7B:DC:7F:5F:22:CF:14:E4:7C:81:01:8F:F2:56:53:52:BE:F8:E8:85:95:6B:D2:DB:70:DD","2011 Oct 18","2037 Dec 01","RSA 2048 bits","sha256WithRSAEncryption","Email","","https://bugzilla.mozilla.org/show_bug.cgi?id=833986","NSS 3.28.1","Firefox 51","","None","http://www.symantec.com/","USA, Global","https://www.symantec.com/content/en/us/about/media/repository/stn-cp.pdf","https://www.symantec.com/content/en/us/about/media/repository/stn-cps.pdf","https://www.symantec.com/content/en/us/about/media/repository/1_symantec_stn_wtca_6-15-2016.pdf","","","KPMG","WebTrust","2016.05.13"
"Symantec / GeoTrust","GeoTrust Inc.","","GeoTrust Global CA","023456","FF:85:6A:2D:25:1D:CD:88:D3:66:56:F4:50:12:67:98:CF:AB:AA:DE:40:79:9C:72:2D:E4:D2:B5:DB:36:A7:3A","81:28:A1:C6:05:DB:96:C2:55:5B:E6:D0:FF:16:29:E3:E4:A9:4E:52:1F:1A:B1:D8:DA:07:0E:5C:47:DF:C2:02","2002 May 21","2022 May 21","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","legacy","","Firefox 1","https://ssltest14.bbtest.net/","","http://www.geotrust.com/","USA, Global","http://www.geotrust.com/resources/repository/legal","http://www.geotrust.com/resources/repository/legal","https://www.symantec.com/content/en/us/about/media/repository/3_symantec_geotrust_wtca_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/6_symantec_geotrust_wtbr_6-15-2016.pdf","","KPMG","WebTrust","2016.05.13"
"Symantec / GeoTrust","GeoTrust Inc.","","GeoTrust Global CA 2","01","CA:2D:82:A0:86:77:07:2F:8A:B6:76:4F:F0:35:67:6C:FE:3E:5E:32:5E:01:21:72:DF:3F:92:09:6D:B7:9B:85","DE:A5:7D:EA:5A:C7:4B:0E:F4:80:B1:D3:76:4C:A0:12:76:6B:7A:04:13:E3:64:19:37:8C:85:E8:7F:C5:67:DC","2004 Mar 04","2019 Mar 04","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=294916","NSS 3.11.4","Firefox 2","https://ssltest19.bbtest.net/","","http://www.geotrust.com/","USA, Global","http://www.geotrust.com/resources/repository/legal","http://www.geotrust.com/resources/repository/legal","https://www.symantec.com/content/en/us/about/media/repository/3_symantec_geotrust_wtca_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/6_symantec_geotrust_wtbr_6-15-2016.pdf","","KPMG","WebTrust","2016.05.13"
"Symantec / GeoTrust","GeoTrust Inc.","","GeoTrust Primary Certification Authority","18acb56afd69b6153a636cafdafac4a1","37:D5:10:06:C5:12:EA:AB:62:64:21:F1:EC:8C:92:01:3F:C5:F8:2A:E9:8E:E5:33:EB:46:19:B8:DE:B4:D0:6C","0A:D7:48:AD:61:94:81:80:3A:03:D3:72:54:3B:42:D4:02:BE:C6:F2:73:32:3D:36:4E:8B:CB:E6:52:6C:45:60","2006 Nov 27","2036 Jul 16","RSA 2048 bits","sha1WithRSAEncryption","Websites","1.3.6.1.4.1.14370.1.6","https://bugzilla.mozilla.org/show_bug.cgi?id=407168","NSS 3.11.10","Firefox 3.0.2","https://ssltest22.bbtest.net/","","http://www.geotrust.com/","USA, Global","http://www.geotrust.com/resources/repository/legal","http://www.geotrust.com/resources/repository/legal","https://www.symantec.com/content/en/us/about/media/repository/3_symantec_geotrust_wtca_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/6_symantec_geotrust_wtbr_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/9_symantec_geotrust_wtev_6-15-2016.pdf","KPMG","WebTrust","2016.05.13"
"Symantec / GeoTrust","GeoTrust Inc.","(c) 2007 GeoTrust Inc. - For authorized use only","GeoTrust Primary Certification Authority - G2","3cb2f4480a00e2feeb243b5e603ec36b","5E:DB:7A:C4:3B:82:A0:6A:87:61:E8:D7:BE:49:79:EB:F2:61:1F:7D:D7:9B:F9:1C:1C:6B:56:6A:21:9E:D7:66","A0:73:D3:6C:A9:EB:A1:34:5C:9D:7F:A2:78:07:55:CD:E1:95:18:6D:AA:6C:99:B0:1C:AD:94:DB:2B:F2:36:E8","2007 Nov 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=409236","NSS 3.12.6","Firefox 3.6.2","https://ssltest42.ssl.symclab.com","","http://www.geotrust.com/","USA, Global","http://www.geotrust.com/resources/repository/legal","http://www.geotrust.com/resources/repository/legal","https://www.symantec.com/content/en/us/about/media/repository/3_symantec_geotrust_wtca_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/6_symantec_geotrust_wtbr_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/9_symantec_geotrust_wtev_6-15-2016.pdf","KPMG","WebTrust","2016.05.13"
"Symantec / GeoTrust","GeoTrust Inc.","(c) 2008 GeoTrust Inc. - For authorized use only","GeoTrust Primary Certification Authority - G3","15ac6e9419b2794b41f627a9c3180f1f","B4:78:B8:12:25:0D:F8:78:63:5C:2A:A7:EC:7D:15:5E:AA:62:5E:E8:29:16:E2:CD:29:43:61:88:6C:D1:FB:D4","4A:3F:0B:B4:0C:98:0A:FF:C2:B0:39:F6:F0:BA:C8:8F:BE:DB:D6:A5:4A:EC:F1:02:29:1B:AF:6C:07:CA:AD:3B","2008 Apr 02","2037 Dec 01","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email;Code","1.3.6.1.4.1.14370.1.6","https://bugzilla.mozilla.org/show_bug.cgi?id=484899","NSS 3.12.5","Firefox 3.6","https://ssltest21.bbtest.net","","http://www.geotrust.com/","USA, Global","http://www.geotrust.com/resources/repository/legal","http://www.geotrust.com/resources/repository/legal","https://www.symantec.com/content/en/us/about/media/repository/3_symantec_geotrust_wtca_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/6_symantec_geotrust_wtbr_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/9_symantec_geotrust_wtev_6-15-2016.pdf","KPMG","WebTrust","2016.05.13"
"Symantec / GeoTrust","GeoTrust Inc.","","GeoTrust Universal CA","01","A0:45:9B:9F:63:B2:25:59:F5:FA:5D:4C:6D:B3:F9:F7:2F:F1:93:42:03:35:78:F0:73:BF:1D:1B:46:CB:B9:12","A3:75:D8:30:81:5C:BA:5D:8D:A3:B4:B1:56:4F:BB:EC:B8:79:BD:40:EE:44:AA:E3:41:CD:31:4A:0F:42:B3:73","2004 Mar 04","2029 Mar 04","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=294916","NSS 3.11.4","Firefox 2","https://ssltest20.bbtest.net","","http://www.geotrust.com/","USA, Global","http://www.geotrust.com/resources/repository/legal","http://www.geotrust.com/resources/repository/legal","https://www.symantec.com/content/en/us/about/media/repository/3_symantec_geotrust_wtca_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/6_symantec_geotrust_wtbr_6-15-2016.pdf","","KPMG","WebTrust","2016.05.13"
"Symantec / GeoTrust","GeoTrust Inc.","","GeoTrust Universal CA 2","01","A0:23:4F:3B:C8:52:7C:A5:62:8E:EC:81:AD:5D:69:89:5D:A5:68:0D:C9:1D:1C:B8:47:7F:33:F8:78:B9:5B:0B","8F:83:F7:13:5B:66:13:E9:80:BD:82:C6:90:DC:84:5F:5F:12:55:7B:ED:B3:22:37:3B:B2:09:7B:43:9B:B4:93","2004 Mar 04","2029 Mar 04","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=294916","NSS 3.11.4","Firefox 2","https://ssltest34.bbtest.net","","http://www.geotrust.com/","USA, Global","http://www.geotrust.com/resources/repository/legal","http://www.geotrust.com/resources/repository/legal","https://www.symantec.com/content/en/us/about/media/repository/3_symantec_geotrust_wtca_6-15-2016.pdf","https://www.symantec.com/content/en/us/about/media/repository/6_symantec_geotrust_wtbr_6-15-2016.pdf","","KPMG","WebTrust","2016.05.13"
