"Owner","Certificate Issuer Organization","Certificate Issuer Organizational Unit","Common Name or Certificate Name","Certificate Serial Number","SHA-256 Fingerprint","Certificate ID","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm","Trust Bits","EV Policy OID(s)","Approval Bug","NSS Release When First Included","Firefox Release When First Included","URL to Test Website or Example Cert","Mozilla Applied Constraints","Company Website","Geographic Focus","Certificate Policy (CP)","Certification Practice Statement (CPS)","Standard Audit","BR Audit","EV Audit","Auditor","Standard Audit Type","Standard Audit Statement Dt"
"Izenpe S.A.","IZENPE S.A.","","Izenpe.com","00b0b75a16485fbfe1cbf58bd719e67d","25:30:CC:8E:98:32:15:02:BA:D9:6F:9B:1F:BA:1B:09:9E:2D:29:9E:0F:45:48:BB:91:4F:36:3B:C0:D4:53:1F","A2:E4:76:CF:81:D0:72:DA:A4:90:85:0C:46:6C:D4:4A:66:F9:94:CA:38:AE:AC:73:1A:2D:8F:83:85:E9:D0:90","2007 Dec 13","2037 Dec 13","RSA 4096 bits","sha256WithRSAEncryption","Websites;Code","1.3.6.1.4.1.14777.6.1.1, 1.3.6.1.4.1.14777.6.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=361957","NSS 3.12.9","Firefox 4.0","https://servicios.izenpe.com/","","http://www.izenpe.com","Basque Country, Spain","http://www.izenpe.com/cps","http://www.izenpe.com/cps","https://bug361957.bmoattachments.org/attachment.cgi?id=8775763","https://bug361957.bmoattachments.org/attachment.cgi?id=8775763","https://bug361957.bmoattachments.org/attachment.cgi?id=8775763","TUVIT","ETSI EN 319 411","2016.07.22"
"Krajowa Izba Rozliczeniowa S.A. (KIR)","Krajowa Izba Rozliczeniowa S.A.","","SZAFIR ROOT CA2","3e8a5d07ec55d232d5b7e3b65f01eb2ddce4d6e4","A1:33:9D:33:28:1A:0B:56:E5:57:D3:D3:2B:1C:E7:F9:36:7E:B0:94:BD:5F:A7:2A:7E:50:04:C8:DE:D7:CA:FE","7E:42:4C:7C:6E:B9:2B:46:96:2C:AF:9A:E6:B4:CA:AD:F1:7F:B0:72:83:82:CF:70:1F:7B:6F:BD:ED:B1:3F:DC","2015 Oct 19","2035 Oct 19","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=817994","NSS 3.23","Firefox 46","https://ssl.elektronicznypodpis.pl/","None","http://www.kir.com.pl/","Poland","http://elektronicznypodpis.pl/files/doc/certification_policy.pdf","http://www.elektronicznypodpis.pl/files/doc/certification_practice_statement.pdf","https://cert.webtrust.org/SealFile?seal=2018&file=pdf","https://cert.webtrust.org/SealFile?seal=2018&file=pdf","","EY","WebTrust","2016.03.18"
"LuxTrust","LuxTrust S.A.","","LuxTrust Global Root 2","0a7ea6df4b449eda6a24859ee6b815d3167fbbb1","54:45:5F:71:29:C2:0B:14:47:C4:18:F9:97:16:8F:24:C5:8F:C5:02:3B:F5:DA:5B:E2:EB:6E:1D:D8:90:2E:D5","42:FA:18:45:C1:5E:25:40:FB:DC:13:18:C8:1F:F3:20:6C:C4:75:20:D3:A7:61:2F:1A:AC:7C:3A:F7:6D:BF:3D","2015 Mar 05","2035 Mar 05","RSA 4096 bits","sha256WithRSAEncryption","Websites","1.3.171.1.1.10.5.2","https://bugzilla.mozilla.org/show_bug.cgi?id=944783","NSS 3.28.1","Firefox 51","","None","https://www.luxtrust.lu","Luxembourg","https://www.luxtrust.lu/upload/data/repository/LuxTrust%20Global%20Root%20CA%20-%20Certificate%20Profiles%20v1%2022.pdf","https://www.luxtrust.lu/upload/data/repository/LuxTrust_Global_Root%20CA_Certification_Practice_Statements_v1_09.pdf","https://bugzilla.mozilla.org/attachment.cgi?id=8777887","https://bugzilla.mozilla.org/attachment.cgi?id=8777887","https://bugzilla.mozilla.org/attachment.cgi?id=8777887","LSTI","ETSI TS 102 042","2016.07.26"
"Microsec e-Szignó CA","Microsec Ltd.","e-Szigno CA","Microsec e-Szigno Root CA","00ccb8e7bf4e291afda2dc66a51c2c0f11","32:7A:3D:76:1A:BA:DE:A0:34:EB:99:84:06:27:5C:B1:A4:77:6E:FD:AE:2F:DF:6D:01:68:EA:1C:4F:55:67:D0","23:F0:8B:3F:8B:90:90:BD:60:02:B7:17:84:C9:85:DB:9E:07:35:4B:D4:AE:0C:9D:E5:DB:41:8B:AD:AF:4F:AD","2005 Apr 06","2017 Apr 06","RSA 2048 bits","sha1WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=370505","NSS 3.12.4","Firefox 3.5","https://srv.e-szigno.hu/","","http://www.e-szigno.hu/?lap=english","Hungary","http://srv.e-szigno.hu/menu/index.php?lap=english_dokszab","http://www.e-szigno.hu/docs/szsz--hsz--altalanos--v2.0.pdf","http://static.e-szigno.hu/docs/NMHH_supervision_2015.pdf","http://static.e-szigno.hu/docs/NMHH_supervision_2015.pdf","","NMHH","ETSI TS 102 042","2016.01.12"
"Microsec e-Szignó CA","Microsec Ltd.","","Microsec e-Szigno Root CA 2009","00c27e43044e473f19","3C:5F:81:FE:A5:FA:B8:2C:64:BF:A2:EA:EC:AF:CD:E8:E0:77:FC:86:20:A7:CA:E5:37:16:3D:F3:6E:DB:F3:78","1F:52:0F:B5:7E:00:CA:3E:0E:F4:CE:07:04:C8:BA:89:34:06:90:66:F8:8D:4F:48:DD:B9:A1:A0:4E:60:BF:56","2009 Jun 16","2029 Dec 30","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=510506","NSS 3.12.8","Firefox 3.6.12","https://pca.e-szigno.hu/","","http://www.e-szigno.hu/?lap=english","Hungary","http://srv.e-szigno.hu/menu/index.php?lap=english_dokszab","http://www.e-szigno.hu/docs/szsz--hsz--altalanos--v2.0.pdf","http://static.e-szigno.hu/docs/NMHH_supervision_2015.pdf","http://static.e-szigno.hu/docs/NMHH_supervision_2015.pdf","","NMHH","ETSI TS 102 042","2016.01.12"
"NetLock Ltd.","NetLock Kft.","Tanúsítványkiadók (Certification Services)","NetLock Arany (Class Gold) Főtanúsítvány","49412ce40010","6C:61:DA:C3:A2:DE:F0:31:50:6B:E0:36:D2:A6:FE:40:19:94:FB:D1:3D:F9:C8:D4:66:59:92:74:C4:46:EC:98","42:0D:B8:02:4F:84:6B:2F:C1:24:32:44:BE:11:14:BC:96:25:CD:88:E8:8B:9F:16:3E:8D:5F:F7:1E:0E:4A:84","2008 Dec 11","2028 Dec 06","RSA 2048 bits","sha256WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=480966","NSS 3.12.6","Firefox 3.6.2","https://www.netlock.hu/","","http://www.netlock.hu/USEREN/index.html","Hungary","http://www.netlock.hu/USEREN/html/dok.html","https://bugzilla.mozilla.org/attachment.cgi?id=364923","https://bugzilla.mozilla.org/attachment.cgi?id=8803550","https://bugzilla.mozilla.org/attachment.cgi?id=8803550","","CERTOP","ETSI EN 319 411","2016.10.20"
"PROCERT","Sistema Nacional de Certificacion Electronica","Superintendencia de Servicios de Certificacion Electronica","PSCProcert","0b","3C:FC:3C:14:D1:F6:84:FF:17:E3:8C:43:CA:44:0C:00:B9:67:EC:93:3E:8B:FE:06:4C:A1:D7:2C:90:F2:AD:B0","1B:6A:17:04:18:1A:AD:E1:6E:23:21:EF:56:CA:00:1F:67:BF:12:51:96:B3:4E:33:B2:B8:B1:1E:34:C8:E0:F1","2010 Dec 28","2020 Dec 25","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=593805","NSS 3.15","Firefox 23","https://mail.procert.net.ve/exchange","","https://www.procert.net.ve/eng/index.asp","Venezuela","https://www.procert.net.ve/eng/declaration.asp","https://www.procert.net.ve/eng/declaration.asp","https://bug593805.bmoattachments.org/attachment.cgi?id=8795484","https://bug593805.bmoattachments.org/attachment.cgi?id=8795484","","SUSCERTE  Registered  Auditor","ETSI TS 102 042","2016.08.02"
"QuoVadis","QuoVadis Limited","","QuoVadis Root CA 1 G3","78585f2ead2c194be3370735341328b596d46593","8A:86:6F:D1:B2:76:B5:7E:57:8E:92:1C:65:82:8A:2B:ED:58:E9:F2:F2:88:05:41:34:B7:F1:F4:BF:C9:CC:74","75:21:FA:24:85:29:9C:38:CA:D3:26:A6:75:56:3D:4F:98:77:F0:18:94:1A:BE:C7:E5:9A:A8:23:3E:A2:50:76","2012 Jan 12","2042 Jan 12","RSA 4096 bits","sha256WithRSAEncryption","Websites;Email;Code","Not EV","https://bugzilla.mozilla.org/show_bug.cgi?id=926541","NSS 3.16.3","Firefox 32","http://trust.quovadisglobal.com/qvrca1g3.crt","","http://www.quovadisglobal.com","Bermuda, Global","https://www.quovadisglobal.com/QVRepository.aspx","https://www.quovadisglobal.com/QVRepository.aspx","https://cert.webtrust.org/SealFile?seal=2013&file=pdf","https://cert.webtrust.org/SealFile?seal=2011&file=pdf","","Ernst & Young","WebTrust","2016.03.28"
"QuoVadis","QuoVadis Limited","","QuoVadis Root CA 2","0509","85:A0:DD:7D:D7:20:AD:B7:FF:05:F8:3D:54:2B:20:9D:C7:FF:45:28:F7:D6:77:B1:83:89:FE:A5:E5:C4:9E:86","3B:E6:F1:4E:3F:B7:C6:4F:A0:60:02:58:74:11:FE:38:8E:93:5C:5B:92:4A:39:01:01:03:98:9E:C1:CC:5C:47","2006 Nov 24","2031 Nov 24","RSA 4096 bits","sha1WithRSAEncryption","Websites;Email;Code","1.3.6.1.4.1.8024.0.2.100.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=365281","NSS 3.11.8","Firefox 2","https://evsslrca2-v.quovadisglobal.com","","http://www.quovadisglobal.com","Bermuda, Global","https://www.quovadisglobal.com/QVRepository.aspx","https://www.quovadisglobal.com/QVRepository.aspx","https://cert.webtrust.org/SealFile?seal=2013&file=pdf","https://cert.webtrust.org/SealFile?seal=2011&file=pdf","https://cert.webtrust.org/SealFile?seal=2012&file=pdf","Ernst & Young","WebTrust","2016.03.28"
"QuoVadis","QuoVadis Limited","","QuoVadis Root CA 2 G3","445734245b81899b35f2ceb82b3b5ba726f07528","8F:E4:FB:0A:F9:3A:4D:0D:67:DB:0B:EB:B2:3E:37:C7:1B:F3:25:DC:BC:DD:24:0E:A0:4D:AF:58:B4:7E:18:40","D6:19:C1:38:A5:45:2C:F1:B4:6D:56:5F:C3:71:16:92:3B:5F:FA:84:95:FE:F5:80:A9:91:06:09:A1:F2:D3:74","2012 Jan 12","2042 Jan 12","RSA 4096 bits","sha256WithRSAEncryption","Websites;Code","1.3.6.1.4.1.8024.0.2.100.1.2","https://bugzilla.mozilla.org/show_bug.cgi?id=926541","NSS 3.16.3","Firefox 32","http://trust.quovadisglobal.com/qvrca2g3.crt","","http://www.quovadisglobal.com","Bermuda, Global","https://www.quovadisglobal.com/QVRepository.aspx","https://www.quovadisglobal.com/QVRepository.aspx","https://cert.webtrust.org/SealFile?seal=2013&file=pdf","https://cert.webtrust.org/SealFile?seal=2011&file=pdf","https://cert.webtrust.org/SealFile?seal=2012&file=pdf","Ernst & Young","WebTrust","2016.03.28"
